Legend,,,,,,,,,,,,,,
M =,male,,,,,,,,,,,,,
F = ,female,,,,,,,,,,,,,
YOY =,Young-of-year,,,,,,,,,,,,,
J =,Juvenile,,,,,,,,,,,,,
A =,Adult,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Probability of being outside home cell,,,,Permissible movement week,,,,,,Percent probability of moving a given number of cells,,,,
Week,M,F,,Week,YOYM,YOYF,JAM,JAF,,Cells,YOYM,YOYF,JAM,JAF
1,22,22,,1,FALSE,FALSE,FALSE,FALSE,,0,0,0,0,0
2,22,22,,2,FALSE,FALSE,FALSE,FALSE,,1,50,50,50,50
3,22,22,,3,FALSE,FALSE,FALSE,FALSE,,2,50,50,50,50
4,22,22,,4,FALSE,FALSE,FALSE,FALSE,,3,0,0,0,0
5,22,22,,5,FALSE,FALSE,FALSE,FALSE,,4,0,0,0,0
6,22,22,,6,FALSE,FALSE,FALSE,FALSE,,5,0,0,0,0
7,22,22,,7,FALSE,FALSE,FALSE,FALSE,,6,0,0,0,0
8,22,22,,8,FALSE,FALSE,FALSE,FALSE,,7,0,0,0,0
9,22,22,,9,FALSE,FALSE,FALSE,FALSE,,8,0,0,0,0
10,22,22,,10,FALSE,FALSE,FALSE,FALSE,,9,0,0,0,0
11,22,22,,11,FALSE,FALSE,FALSE,FALSE,,10,0,0,0,0
12,22,22,,12,FALSE,FALSE,FALSE,FALSE,,11,0,0,0,0
13,22,22,,13,FALSE,FALSE,FALSE,FALSE,,12,0,0,0,0
14,22,22,,14,FALSE,FALSE,FALSE,FALSE,,13,0,0,0,0
15,22,22,,15,FALSE,FALSE,FALSE,FALSE,,14,0,0,0,0
16,22,22,,16,FALSE,FALSE,FALSE,FALSE,,15,0,0,0,0
17,22,22,,17,FALSE,FALSE,FALSE,FALSE,,16,0,0,0,0
18,22,22,,18,FALSE,FALSE,FALSE,FALSE,,17,0,0,0,0
19,22,22,,19,TRUE,TRUE,TRUE,TRUE,,18,0,0,0,0
20,22,22,,20,FALSE,FALSE,FALSE,FALSE,,19,0,0,0,0
21,22,22,,21,FALSE,FALSE,FALSE,FALSE,,20,0,0,0,0
22,22,22,,22,FALSE,FALSE,FALSE,FALSE,,21,0,0,0,0
23,22,22,,23,FALSE,FALSE,FALSE,FALSE,,22,0,0,0,0
24,22,22,,24,FALSE,FALSE,FALSE,FALSE,,23,0,0,0,0
25,22,22,,25,FALSE,FALSE,FALSE,FALSE,,24,0,0,0,0
26,22,22,,26,FALSE,FALSE,FALSE,FALSE,,25,0,0,0,0
27,22,22,,27,TRUE,TRUE,TRUE,TRUE,,26,0,0,0,0
28,22,22,,28,TRUE,TRUE,TRUE,TRUE,,27,0,0,0,0
29,22,22,,29,TRUE,TRUE,TRUE,TRUE,,28,0,0,0,0
30,22,22,,30,TRUE,TRUE,TRUE,TRUE,,29,0,0,0,0
31,22,22,,31,TRUE,TRUE,TRUE,TRUE,,30,0,0,0,0
32,22,22,,32,TRUE,TRUE,TRUE,TRUE,,31,0,0,0,0
33,22,22,,33,FALSE,FALSE,FALSE,FALSE,,32,0,0,0,0
34,22,22,,34,FALSE,FALSE,FALSE,FALSE,,33,0,0,0,0
35,22,22,,35,FALSE,FALSE,FALSE,FALSE,,34,0,0,0,0
36,22,22,,36,FALSE,FALSE,FALSE,FALSE,,35,0,0,0,0
37,22,22,,37,FALSE,FALSE,FALSE,FALSE,,36,0,0,0,0
38,22,22,,38,FALSE,FALSE,FALSE,FALSE,,37,0,0,0,0
39,22,22,,39,FALSE,FALSE,FALSE,FALSE,,38,0,0,0,0
40,22,22,,40,FALSE,FALSE,FALSE,FALSE,,39,0,0,0,0
41,22,22,,41,FALSE,FALSE,FALSE,FALSE,,40,0,0,0,0
42,22,22,,42,FALSE,FALSE,FALSE,FALSE,,41,0,0,0,0
43,22,22,,43,FALSE,FALSE,FALSE,FALSE,,42,0,0,0,0
44,22,22,,44,FALSE,FALSE,FALSE,FALSE,,43,0,0,0,0
45,22,22,,45,FALSE,FALSE,FALSE,FALSE,,44,0,0,0,0
46,22,22,,46,FALSE,FALSE,FALSE,FALSE,,45,0,0,0,0
47,22,22,,47,FALSE,FALSE,FALSE,FALSE,,46,0,0,0,0
48,50,40,,48,FALSE,FALSE,FALSE,FALSE,,47,0,0,0,0
49,22,22,,49,FALSE,FALSE,FALSE,FALSE,,48,0,0,0,0
50,22,22,,50,FALSE,FALSE,FALSE,FALSE,,49,0,0,0,0
51,22,22,,51,FALSE,FALSE,FALSE,FALSE,,,,,,
52,22,22,,52,FALSE,FALSE,FALSE,FALSE,,,,,,
